item_d,item_e,length,changes,nLD,mode,test,POS,type,shift,n.shift,frequency_e,frequency_d,mean_total,mean_control,mean_intervention,mean%_total,mean%_control,mean%_intervention
Ecke,corner,6,5,0.17,receptive,T2MoonStar,noun,PW,n/a,0,1,12,0.53405,0.546053,0.519685,53.4,54.6,52
Ziel,aim,4,3,0.25,receptive,T1Red,noun,PW,n/a,0,3,9,0.476703,0.526316,0.417323,47.7,52.6,41.7
Reise,journey,7,6,0.14,receptive,T3Dog,noun,PW,n/a,0,2,10,0.469534,0.440789,0.503937,47,44.1,50.4
Gleis,rail,5,4,0.20,receptive,T2MoonStar,noun,PW,n/a,0,3,13,0.487455,0.506579,0.464567,48.7,50.7,46.5
Thema,topic,5,4,0.20,receptive,T3Dog,noun,PW,n/a,0,2,8,0.272401,0.256579,0.291339,27.2,25.7,29.1
Kellner,waiter,7,5,0.29,receptive,T1Red,noun,PW,n/a,0,4,14,0.301075,0.289474,0.314961,30.1,28.9,31.5
Affe,ape,4,2,0.50,productive,T1Red,noun,C,p-f,1,6,14,0.770609,0.809211,0.724409,77.1,80.9,72.4
Pfanne,pan,6,3,0.50,productive,T2MoonStar,noun,C,p-f,1,2,15,0.795699,0.75,0.850394,79.6,75,85
Harfe,harp,5,2,0.60,productive,T3Dog,noun,C,p-f,1,7,15,0.562724,0.5,0.637795,56.3,50,63.8
stampfen,stamp,8,3,0.63,productive,T3Dog,verb,C,p-f,1,2,15,0.666667,0.605263,0.740157,66.7,60.5,74
hoffen,hope,6,3,0.50,productive,T2MoonStar,verb,C,p-f,1,1,9,0.72043,0.677632,0.771654,72,67.8,77.2
pflücken,pluck,8,4,0.50,productive,T1Red,verb,C,p-f,1,5,15,0.426523,0.407895,0.448819,42.7,40.8,44.9
Pflaster,plaster,8,1,0.88,receptive,T2MoonStar,noun,C,p-f,1,5,14,0.738351,0.736842,0.740157,73.8,73.7,74
Landschaft,landscape,10,4,0.60,receptive,T1Red,noun,C,p-f,1,3,11,0.781362,0.736842,0.834646,78.1,73.7,83.5
Pfund,pound,5,2,0.60,receptive,T1Red,noun,C,p-f,1,1,12,0.519713,0.506579,0.535433,52,50.7,53.5
Griff,grip,5,2,0.60,receptive,T3Dog,noun,C,p-f,1,3,12,0.53405,0.532895,0.535433,53.4,53.3,53.5
Saft,sap,4,2,0.50,receptive,T2MoonStar,noun,C,p-f,1,7,14,0.387097,0.368421,0.409449,38.7,36.8,40.9
Pfennig,penny,7,3,0.57,receptive,T3Dog,noun,C,p-f,1,1,13,0.344086,0.342105,0.346457,34.4,34.2,34.6
Durst,thirst,6,3,0.50,productive,T1Red,noun,C,t-d-th,0,1,15,0.326165,0.296053,0.362205,32.6,29.6,36.2
Leder,leather,7,3,0.57,productive,T3Dog,noun,C,t-d-th,0,3,13,0.397849,0.414474,0.377953,39.8,41.4,37.8
Dach,thatch,6,3,0.50,productive,T3Dog,noun,C,t-d-th,0,8,11,0.168459,0.144737,0.19685,16.8,14.5,19.7
fördern,further,7,4,0.43,productive,T2MoonStar,verb,C,t-d-th,0,1,10,0.143369,0.131579,0.15748,14.3,13.2,15.7
Erde,earth,5,4,0.20,receptive,T2MoonStar,noun,C,t-d-th,0,1,11,0.792115,0.776316,0.811024,79.2,77.6,81.1
Donner,thunder,7,4,0.43,receptive,T3Dog,noun,C,t-d-th,0,4,15,0.602151,0.598684,0.606299,60.2,59.9,60.6
Feder,feather,7,3,0.57,receptive,T1Red,noun,C,t-d-th,0,2,13,0.505376,0.519737,0.488189,50.5,52,48.8
Dorn,thorn,5,2,0.60,receptive,T2MoonStar,noun,C,t-d-th,0,6,14,0.494624,0.434211,0.566929,49.5,43.4,56.7
sieden,seethe,6,4,0.33,receptive,T1Red,verb,C,t-d-th,0,8,17,0.100358,0.105263,0.094488,10,10.5,9.4
Hornisse,hornet,8,4,0.50,productive,T1Red,noun,C,t-s/z,0,10,17,0.240143,0.25,0.228346,24,25,22.8
Kessel,kettle,6,4,0.33,productive,T2MoonStar,noun,C,t-s/z,0,6,14,0.318996,0.315789,0.322835,31.9,31.6,32.3
Masse,matter,6,3,0.50,productive,T3Dog,noun,C,t-s/z,0,1,11,0.365591,0.296053,0.448819,36.6,29.6,44.9
Schweiss,sweat,8,5,0.38,receptive,T2MoonStar,noun,C,t-s/z,0,3,14,0.548387,0.513158,0.590551,54.8,51.3,59.1
Rassel,rattle,6,4,0.33,receptive,T1Red,noun,C,t-s/z,0,4,17,0.433692,0.473684,0.385827,43.4,47.4,38.6
Nessel,nettle,6,4,0.33,receptive,T3Dog,noun,C,t-s/z,0,9,17,0.437276,0.434211,0.440945,43.7,43.4,44.1
Witz,wit,4,1,0.75,productive,T1Red,noun,C,t-s/z,0,4,12,0.81362,0.789474,0.84252,81.4,78.9,84.3
Glitzer,glitter,7,1,0.86,productive,T3Dog,noun,C,t-s/z,0,8,18,0.763441,0.730263,0.80315,76.3,73,80.3
Bolzen,bolt,6,3,0.50,productive,T3Dog,noun,C,t-s/z,0,4,17,0.544803,0.453947,0.653543,54.5,45.4,65.4
Filz,felt,4,2,0.50,productive,T2MoonStar,noun,C,t-s/z,0,11,15,0.594982,0.546053,0.653543,59.5,54.6,65.4
grunzen,grunt,7,3,0.57,productive,T2MoonStar,verb,C,t-s/z,0,5,17,0.422939,0.368421,0.488189,42.3,36.8,48.8
zähmen,tame,6,4,0.33,productive,T1Red,verb,C,t-s/z,0,5,16,0.204301,0.223684,0.181102,20.4,22.4,18.1
Minze,mint,5,2,0.60,receptive,T2MoonStar,noun,C,t-s/z,0,5,17,0.810036,0.802632,0.818898,81,80.3,81.9
Netz,net,4,1,0.75,receptive,T2MoonStar,noun,C,t-s/z,0,3,11,0.702509,0.651316,0.76378,70.3,65.1,76.4
Schlitz,slit,7,3,0.57,receptive,T1Red,noun,C,t-s/z,0,6,16,0.498208,0.460526,0.543307,49.8,46.1,54.3
Zweig,twig,5,2,0.60,receptive,T3Dog,noun,C,t-s/z,0,10,13,0.405018,0.368421,0.448819,40.5,36.8,44.9
Zelt,tent,4,2,0.50,receptive,T1Red,noun,C,t-s/z,0,2,12,0.215054,0.25,0.173228,21.5,25,17.3
setzen,set,6,3,0.50,receptive,T3Dog,verb,C,t-s/z,0,1,8,0.412186,0.355263,0.480315,41.2,35.5,48
