ID,Test,Grade,Group,total_p,cog_p,total_r,cog_r,cogtsz,cogpf,cogdth,cogck,cogkch,noncog,total,cog
,Test_3,Q,intervention,8,6,5,4,3,2,3,1,1,3,13,10
,Test_3,R,intervention,9,9,1,1,3,2,4,1,0,0,10,10
,Test_3,R,intervention,9,8,12,10,5,3,4,5,1,3,21,18
,Test_3,R,intervention,8,5,9,8,4,2,5,1,1,4,17,13
,Test_3,R,intervention,11,9,11,9,5,3,4,4,2,4,22,18
,Test_3,R,intervention,11,9,11,10,5,3,4,5,2,3,22,19
,Test_3,R,intervention,7,6,5,4,3,0,3,2,2,2,12,10
,Test_3,R,intervention,7,5,12,11,5,3,3,4,1,3,19,16
,Test_3,R,intervention,8,6,4,4,4,0,3,1,2,2,12,10
,Test_3,R,intervention,6,6,5,5,4,2,3,1,1,0,11,11
,Test_3,R,intervention,9,8,14,12,5,4,4,5,2,3,23,20
,Test_3,R,intervention,7,5,6,5,4,3,1,1,1,3,13,10
,Test_3,R,intervention,3,3,7,7,2,2,1,4,1,0,10,10
,Test_3,R,intervention,3,3,9,8,4,2,2,2,1,1,12,11
,Test_3,R,intervention,6,5,7,7,2,2,4,3,1,1,13,12
,Test_3,R,intervention,7,6,6,5,4,3,0,3,1,2,13,11
,Test_3,R,intervention,4,2,2,2,0,2,0,2,0,2,6,4
